model,factors,seed,samples,features,fit_observed_cells,holdout_cells,observed_cells,holdout_fraction_realized,q_train,q_train_per_cell,q_heldout,q_heldout_per_cell,q_all_observed,q_all_observed_per_cell,objective,iterations,converged,fit_seconds,profile_variability_mean,profile_variability_max,active_variability_factor_count,effective_rank_mean,effective_rank_active_factor_count,high_geometric_confounding_factor_count,moderate_geometric_confounding_factor_count,pairwise_cosine_mean,pairwise_cosine_max,pairwise_cosine_min,difference_span_rank,difference_condition_number,difference_min_relative_singular_value
lowrank_v2,4,11,8671,32,205786,22901,228687,0.1001412410849764,278449.5282912116,1.353102389332664,215115.29217312983,9.393270694429493,493564.8204643414,2.1582548219371516,278449.5282912116,15,False,26.4333375840215,0.0,0.0,0,0.0,0,0,2,0.8633664464842034,0.9631684202129169,0.7879248625041232,3.0,4.426525731401191,0.22591080695773022
lowrank_v2,4,17,8671,32,205786,22901,228687,0.1001412410849764,298632.34410008835,1.4511791088805281,199754.41906924127,8.722519499988701,498386.7631693296,2.1793401599974183,298632.34410008835,15,False,26.48155616701115,0.0,0.0,0,0.0,0,0,3,0.8416164469432518,0.9377767824725861,0.764345524803374,3.0,2.783318558610385,0.3592833443036666
lowrank_v2,4,23,8671,32,205786,22901,228687,0.1001412410849764,278578.9811834266,1.3537314549261201,114545.22839715095,5.001756621857165,393124.20958057756,1.7190492226518235,278578.9811834266,15,False,26.590064040967263,0.0,0.0,0,0.0,0,2,0,0.7124437270859483,0.9906223976952729,0.6192177822028141,3.0,6.595000946224268,0.1516300009892363
lowrank_v2,4,31,8671,32,205786,22901,228687,0.1001412410849764,281025.9625568825,1.3656223579683873,152985.98632564076,6.680319039589571,434011.94888252334,1.8978426796561385,281025.9625568825,15,False,26.519503749907017,0.0,0.0,0,0.0,0,2,1,0.6540167780034254,0.9736986952562943,0.3058264264358236,3.0,6.279107290655746,0.1592583075444737
lowrank_v2,4,41,8671,32,205786,22901,228687,0.1001412410849764,272425.5876605976,1.3238295494377537,255238.90768614484,11.14531713401794,527664.4953467424,2.307365505458301,272425.5876605976,15,False,26.564530208939686,0.0,0.0,0,0.0,0,2,0,0.818821346669819,0.9763712750652684,0.6866620640400517,3.0,3.8065769895734918,0.2627032115044769
lowrank_v2,4,53,8671,32,205786,22901,228687,0.1001412410849764,276105.32029390114,1.3417109049881972,178122.0793715095,7.7779170940792755,454227.39966541063,1.986240580642584,276105.32029390114,15,False,26.526474082958885,0.0,0.0,0,0.0,0,2,1,0.6854223339492392,0.9828660628830985,0.38708788831510144,3.0,6.433150823082665,0.15544482439490137
lowrank_v2,4,67,8671,32,205786,22901,228687,0.1001412410849764,274757.49598887085,1.3351612645606157,375509.8518934158,16.397094096040163,650267.3478822866,2.8434819114435306,274757.49598887085,15,False,26.68302454194054,0.0,0.0,0,0.0,0,0,3,0.8085279029418645,0.9383696655706877,0.6518855450896223,3.0,2.47085919441053,0.404717517801968
lowrank_v2,4,79,8671,32,205786,22901,228687,0.1001412410849764,271887.0907982617,1.321212768595831,301585.89566268004,13.169114696418498,573472.9864609416,2.507676371901077,271887.0907982617,15,False,26.746887708082795,0.0,0.0,0,0.0,0,0,2,0.8250423198582175,0.9326746410937845,0.710523610643173,3.0,2.0750916827446186,0.48190641807081536
lowrank_v2,4,97,8671,32,205786,22901,228687,0.1001412410849764,280066.2238535853,1.3609585873362877,125160.4153753094,5.465281663477988,405226.6392288947,1.7719705939948258,280066.2238535853,15,False,26.765900333062746,0.0,0.0,0,0.0,0,2,0,0.8260261828702028,0.9875167284822246,0.7384118990318714,3.0,7.308733035850137,0.1368226196106617
lowrank_v2,4,113,8671,32,205786,22901,228687,0.1001412410849764,276271.6271722445,1.3425190594707341,201035.17170012672,8.778445120305957,477306.7988723712,2.087161923818893,276271.6271722445,15,False,26.95873199997004,0.0,0.0,0,0.0,0,2,1,0.7536167089042999,0.9732486599201783,0.527515848245832,3.0,8.266890204311611,0.12096447095407754
