model,factors,seed_count,q_train_per_cell_median,q_heldout_per_cell_median,q_heldout_per_cell_mean,q_all_observed_per_cell_median,converged_fraction,iterations_median,fit_seconds_median,pairwise_archetype_cosine_max_median,profile_variability_mean_median,active_variability_factor_count_median,high_geometric_confounding_factor_count_median,moderate_geometric_confounding_factor_count_median,diagnostic_rows,stability_archetype_cosine_median,stability_contribution_correlation_median,stability_variability_abs_diff_median,stability_effective_rank_match_fraction_median
lowrank_v2,4,10,1.347810724401699,8.75048231014733,9.253103566020474,2.122708372878022,0.0,15.0,26.577297124953475,0.9734736775882362,0.0,0.0,2.0,1.0,40,0.9543452113173845,0.8255017298270748,0.0,1.0
lowrank_v2,5,10,1.1222942936423825,12.300911388520348,13.345414900272662,2.2332304024204683,0.0,15.0,28.150122812541667,0.9916566403124765,0.0,0.0,2.0,0.0,50,0.959639980603674,0.792059387624637,0.0,1.0
lowrank_v2,6,10,0.9845692311235894,11.87807731535286,12.630798935252212,2.0772912185615677,0.0,15.0,29.547088749473915,0.9939684291179416,0.0,0.0,3.0,0.5,60,0.9616127405921803,0.6473309187654932,0.0,1.0
lowrank_v2,7,10,0.8364167916138241,17.741333692223776,24.191805889027712,2.491042219664534,0.0,15.0,30.594263312523253,0.9908779258977958,0.0,0.0,3.0,1.0,70,0.9573895298530858,0.6122344291129138,0.0,1.0
lowrank_v2,8,10,0.7091087599513732,15.27293933871577,19.153196217526364,2.1492703114807483,0.0,15.0,31.732079291541595,0.9916637943031352,0.0,0.0,3.0,2.0,80,0.9344679298808469,0.6317430777026807,0.0,1.0
static,4,10,1.3200563642651197,11.466375766620487,11.24164085142029,2.3354180020871373,0.0,500.0,0.4863287294865586,0.9639318433927049,0.0,0.0,0.0,0.0,40,0.9802664388474033,0.9266812347163722,0.0,1.0
static,5,10,1.0926023801074518,14.196580278202038,15.234787091153516,2.3970746157006486,0.0,500.0,0.49340795853640884,0.9912581287954954,0.0,0.0,0.0,0.0,50,0.9698673936114435,0.8689713038918964,0.0,1.0
static,6,10,0.9107446749924284,14.855013301155045,15.20186893743443,2.293051139666975,0.0,500.0,0.5003010630025528,0.9939483924238492,0.0,0.0,0.0,0.0,60,0.974730645323194,0.797550639687492,0.0,1.0
static,7,10,0.7937682490396385,17.833986961343754,22.74892512925528,2.4894705837621767,0.0,500.0,0.5086976879974827,0.9915764442036237,0.0,0.0,0.0,0.0,70,0.9473719582222101,0.6999224845450559,0.0,1.0
static,8,10,0.6657491985167778,19.317254452023647,20.507300182379392,2.526504504229435,0.0,500.0,0.5110919584985822,0.9921435771738509,0.0,0.0,0.0,0.0,80,0.9303812425999247,0.6703982553476143,0.0,1.0
