bootstrap_run,q_true,q_robust,unique_resampled_rows,total_resampled_rows
1,207486.9375,207458.12445921797,5400,8760
2,212042.3125,212014.49824538908,5560,8760
3,218328.171875,218291.66871457794,5960,8760
4,220076.03125,220046.33423742699,5200,8760
5,213966.59375,213937.35278419752,5700,8760
6,211927.359375,211874.58922372456,5900,8760
7,212969.46875,212883.47087230455,5500,8760
8,207563.84375,207539.10914460124,5360,8760
9,208086.5625,208068.6356977524,6060,8760
10,223098.25,223087.459353276,5400,8760
11,220907.5,220887.6401023797,5300,8760
12,220813.25,220765.45712373435,5500,8760
13,228957.640625,228926.50524736525,5900,8760
14,212314.28125,212275.73656546092,5360,8760
15,210473.3125,210441.4976735105,5460,8760
16,214486.875,214444.35793370465,5900,8760
17,217920.6875,217886.16274094814,5600,8760
18,223502.34375,223449.95922579855,6200,8760
19,218689.96875,218653.87425710988,5760,8760
20,214620.03125,214539.07036786398,4960,8760
